Name,Location,ratings,Features,Price,Description,Images,Guests,
The Kingsbury Colombo,colombo,7,"Outdoor pool,Spa and wellness center,Fitness center,Restaurant,Bar/Lounge,Room service,Free Wi-Fi,Tea/coffee maker,Coffee machine,Coffee shop,[Location The hotel is situated in the Janadhipathi Mawatha area of Colombo. This magnificent hotel is set in close proximity to the mighty Indian Ocean. It is 1 km from the centre of Colombo, and Bandaranaike International Airport (CMB) is 35 km away…WebBeds]",220,"Location The hotel is situated in the Janadhipathi Mawatha area of Colombo. This magnificent hotel is set in close proximity to the mighty Indian Ocean. It is 1 km from the centre of Colombo, and Bandaranaike International Airport (CMB) is 35 km away…WebBeds","'https://content.r9cdn.net/rimg/himg/50/1b/3b/ice-54123-photo.aspx_did=2692_brochureid=54123_publicid=27071566_instanceid=3-image.jpg?width=1020&height=1020&xhint=640&yhint=360&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/0c/43/35/ice-54123-4933921_3XL-116638.jpg?width=1020&height=1020&xhint=1555&yhint=960&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/d3/dd/c8/expediav2-500879-a21f41-418313.jpg?width=1020&height=1020&xhint=375&yhint=460&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/20/66/21/expediav2-500879-a1c944-718336.jpg?width=1020&height=1020&xhint=400&yhint=580&crop=true&watermarkheight=28&watermarkpadding=10'",1,
Hilton Colombo Residences,colombo,9,"Outdoor pool,Spa and wellness center,Fitness center,Restaurant,Bar/Lounge,Room service,Free Wi-Fi,Coffee shop,Valet parking,Free parking,[Ideal for families as well as leisure and business travelers, Hilton Colombo Residences offers 177 stylish rooms and suites with views of the Indian Ocean and the metropolis of Colombo. It is in proximity to major banking institutions, supermarkets, …HiltonRead more]",126,"Ideal for families as well as leisure and business travelers, Hilton Colombo Residences offers 177 stylish rooms and suites with views of the Indian Ocean and the metropolis of Colombo. It is in proximity to major banking institutions, supermarkets, …HiltonRead more","'https://content.r9cdn.net/rimg/himg/55/42/e9/ice-79677-106841426-447525.jpg?width=1020&height=1020&xhint=1555&yhint=960&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/28/76/6c/ice-79677-106841451-757562.jpg?width=1020&height=1020&xhint=1497&yhint=960&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/89/0a/5a/ice-79677-106841425-435909.jpg?width=1020&height=1020&xhint=1555&yhint=948&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/1b/b2/22/expediav2-79677-8dee43-891185.jpg?width=1020&height=1020&xhint=500&yhint=390&crop=true&watermarkheight=28&watermarkpadding=10'",2,
Mandarina Colombo,colombo,6,"Outdoor pool,Fitness center,Restaurant,Room service,Free Wi-Fi,Tea/coffee maker,Coffee machine,Coffee shop,Free parking,Business center,[Discover true luxury at Mandarina Colombo, set in the heart of the bustling business capital amidst irresistible vistas of the Indian Ocean. A refreshing escape for both business and leisure, this Colombo city hotel combines sleek contemporary comfor…WebBedsRead more]",56,"Discover true luxury at Mandarina Colombo, set in the heart of the bustling business capital amidst irresistible vistas of the Indian Ocean. A refreshing escape for both business and leisure, this Colombo city hotel combines sleek contemporary comfor…WebBedsRead more","'https://content.r9cdn.net/rimg/himg/89/97/0a/hotelsdotcom-165635552-a0d1e025_w-143455.jpg?width=1020&height=1020&xhint=1000&yhint=890&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/66/45/3a/expediav2-2691449-2698108965-280956.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/14/0b/7f/expediav2-2691449-2145913958-194847.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/8e/90/90/expediav2-2691449-2712060003-310529.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10'",3,
Hotel Maradha Colombo,colombo,7,"Outdoor pool,Spa and wellness center,Fitness center,Restaurant,Bar/Lounge,Room service,Free Wi-Fi,Tea/coffee maker,Valet parking,Free parking,[This comfortable hotel is set in Colombo City. The hotel is close to the citys main public transport connections. The accomodation comprises 41 cosy accomodation units. The year of construction of this hotel dates back to 2021. In addition, Wi-Fi ac…FarePortal]",166,"This comfortable hotel is set in Colombo City. The hotel is close to the citys main public transport connections. The accomodation comprises 41 cosy accomodation units. The year of construction of this hotel dates back to 2021. In addition, Wi-Fi ac…FarePortal","'/rimg/himg/84/1e/9c/expediav2-8585861-e76dff-731633.jpg?width=510&height=510&crop=true', '/rimg/himg/65/67/12/expediav2-8585861-18417a-301875.jpg?width=510&height=510&crop=true', '/rimg/himg/11/f3/5b/expediav2-8585861-6f872e-706325.jpg?width=510&height=510&crop=true', '/rimg/himg/8d/f6/77/expediav2-8585861-568132-339524.jpg?width=510&height=510&crop=true'",5,
Heritance Negombo,negombo,9,"Outdoor pool,Beachfront,Spa and wellness center,Fitness center,Restaurant,Bar/Lounge,Room service,Free Wi-Fi,Tea/coffee maker,Coffee machine,[Welcome to Heritance Negombo, one of the most sought after Negombo hotels, and you will love the imagination and inventiveness around every corner. Experience the charm of the islands West Coast from such Negombo beach hotels, featuring everything fr…iHotelier/iStayRead more]",126,"Welcome to Heritance Negombo, one of the most sought after Negombo hotels, and you will love the imagination and inventiveness around every corner. Experience the charm of the islands West Coast from such Negombo beach hotels, featuring everything fr…iHotelier/iStayRead more","'/rimg/himg/34/52/9e/expediav2-76668-e95b70-855994.jpg?width=510&height=510&crop=true', '/rimg/himg/55/c6/68/expediav2-76668-1369195697-663961.jpg?width=510&height=510&crop=true', '/rimg/himg/f7/d7/ae/expediav2-76668-1d28e3-845518.jpg?width=510&height=510&crop=true', '/rimg/himg/56/69/df/expediav2-76668-928137-716978.jpg?width=510&height=510&crop=true'",4,
Moksha at Kitulgala - Rainforest Boutique Hotel,kitulgala,10,"Outdoor pool,Restaurant,Bar/Lounge,Room service,Free Wi-Fi,Valet parking,Free parking,Wi-Fi available in all areas,Flat-screen TV,TV,[Moksha at Kitulgala - Rainforest Luxury Boutique features free WiFi throughout the property and views of pool in Kitulgala. Each accommodation at the 5-star hotel has mountain views, and guests can enjoy access to a garden and to a bar. The hotel off…Booking.com]",284,"Moksha at Kitulgala - Rainforest Luxury Boutique features free WiFi throughout the property and views of pool in Kitulgala. Each accommodation at the 5-star hotel has mountain views, and guests can enjoy access to a garden and to a bar. The hotel off…Booking.com","'https://content.r9cdn.net/rimg/himg/ce/cc/74/expediav2-8468799-4e9b6f-513999.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/d1/e2/95/expediav2-8468799-f08e9b-570508.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/0c/e1/69/expediav2-8468799-77892d-798179.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/05/8a/1f/expediav2-8468799-db260b-620840.jpg?width=1020&height=1020&xhint=500&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10'",3,
Shangri-La Hambantota,hambantota,10,"Private beach,Water sport facilities (on site),Outdoor pool,Water slide,Spa and wellness center,Fitness center,Restaurant,Bar/Lounge,Room service,Bicycle rental,[This comfortable hotel in Hambantota provides complimentary Wi-Fi, as well as a swimming pool and a private beach. It has a spa, as well as a kids club, a sauna and an express check-in and check-out feature. Guests can make the most of the sun on the…RevatoRead more]",210,"This comfortable hotel in Hambantota provides complimentary Wi-Fi, as well as a swimming pool and a private beach. It has a spa, as well as a kids club, a sauna and an express check-in and check-out feature. Guests can make the most of the sun on the…RevatoRead more","'/rimg/himg/1b/fa/89/ice-81304-4884350_3XL-307263.jpg?width=510&height=510&crop=true', '/rimg/himg/af/eb/7b/revato-1281809-12555573-515065.jpg?width=510&height=510&crop=true', '/rimg/himg/1b/fa/89/ice-81304-4444686_3XL-765730.jpg?width=510&height=510&crop=true', '/rimg/himg/1b/fa/89/ice-81304-4444646_3XL-067560.jpg?width=510&height=510&crop=true'",4,
Taru Villas The Long House - Bentota,bentota,10,"Adults only,Snorkeling,Outdoor pool,Beachfront,Fitness center,Restaurant,Bar/Lounge,Room service,Free Wi-Fi,Tea/coffee maker,[Providing pool views, Taru Villas - The Long House in Bentota provides accommodation, a restaurant, a fitness centre, a bar, a shared lounge and barbecue facilities. The villa features both WiFi and private parking free of charge. Offering a patio, a…VRBO]",407,"Providing pool views, Taru Villas - The Long House in Bentota provides accommodation, a restaurant, a fitness centre, a bar, a shared lounge and barbecue facilities. The villa features both WiFi and private parking free of charge. Offering a patio, a…VRBO","'/rimg/himg/76/fa/d9/expediav2-897295-0d640e-401104.jpg?width=510&height=510&crop=true', '/rimg/himg/d5/17/4c/expediav2-897295-c72598-299218.jpg?width=510&height=510&crop=true', '/rimg/himg/d8/c8/4e/expediav2-897295-e1afe8-383920.jpg?width=510&height=510&crop=true', '/rimg/himg/fb/9a/94/homeawayv2-897295-381bd9-958750.jpg?width=510&height=510&crop=true'",2,
Summerset House,colombo,8,"Kitchen,Terrace/Patio,Balcony,Air-conditioned,Washing machine,Tumble dryer,Linens,Towels,Flat-screen TV,TV,[Just a short distance from fishing, this smoke-free villa lets you experience it all. Diyatha Uyana is an easy 12-minute walk away, so you can leave your car at the property, which offers covered onsite parking, or jump in your vehicle to make short …ExpediaRead more]",55,"Just a short distance from fishing, this smoke-free villa lets you experience it all. Diyatha Uyana is an easy 12-minute walk away, so you can leave your car at the property, which offers covered onsite parking, or jump in your vehicle to make short …ExpediaRead more","'/rimg/himg/86/bb/a5/expediav2-5940313-73f5b1-082733.jpg?width=510&height=510&crop=true', '/rimg/himg/21/3d/8b/expediav2-5940313-3843fc-106190.jpg?width=510&height=510&crop=true', '/rimg/himg/89/00/65/expediav2-5940313-928cbb-116204.jpg?width=510&height=510&crop=true', '/rimg/himg/01/0d/85/expediav2-5940313-a711d5-252663.jpg?width=510&height=510&crop=true'",2,
Taj Bentota Resort & Spa,bentota,10,"Snorkeling,Beachfront,Outdoor pool,Spa and wellness center,Fitness center,Restaurant,Bar/Lounge,Room service,Bicycle rental,Outdoor tennis,[Taj Bentota Resort & Spa. FEEL THE FRESH NEW TWIST. Taj Bentota Resort & Spa, delightfully located along one of the finest beaches on the South West coast, is riding on a fresh new wave. But, it remains one of the best resorts in Sri Lanka, blending …WebBedsRead more]",190,"Taj Bentota Resort & Spa. FEEL THE FRESH NEW TWIST. Taj Bentota Resort & Spa, delightfully located along one of the finest beaches on the South West coast, is riding on a fresh new wave. But, it remains one of the best resorts in Sri Lanka, blending …WebBedsRead more","'/rimg/himg/40/29/e9/leonardo-1127095-Pool_O-828614.jpg?width=510&height=510&crop=true', '/rimg/himg/95/e9/64/leonardo-1127095-superior_charm_gardenview_Twin_O-166411.jpg?width=510&height=510&crop=true', '/rimg/himg/94/d7/c6/leonardo-1127095-superior_charm_seaview_King_O-077451.jpg?width=510&height=510&crop=true', '/rimg/himg/95/67/57/leonardo-1127095-Orchid_Room_MICE_O-040079.jpg?width=510&height=510&crop=true'",2,
